color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,Kosmokz,Epic,04e614cdcaa6449b966cf22f24703c59,23,Octane,147,294,1,1,0,2,1,0,0,50,237,53.8,582,354,228,6,19,397,278,119,4,10,7.8,13.67,80,245,121,1241,168204,94.96,64.5,46.98,31.91,5.29,3.59,98.93,67.2,44.66,30.34,3.63,2.47,0,0,0,54.8,87.7,2191,1830,2551,2888,106.5,72.34,40.73,27.66,76.86,52.2,70.37,47.8,59.64,40.51,43.91,29.83,43.67,29.66,0,0,gold
blue,biou_1419,PS4,biou_1419,23,Octane,147,180,1,0,0,1,1,0,0,100,209,49.65,554,218,336,3,29,156,87,69,1,6,4.78,13.5,121,91,12,1239,167842,101.62,69.21,40,27.24,5.21,3.55,104.36,71.08,40.14,27.34,2.33,1.59,1.26,0.42,3,87.4,51.4,2833,2993,2597,2888,111.22,75.75,35.61,24.25,88.51,60.28,58.32,39.72,71.37,48.61,41.41,28.2,34.05,23.19,0,0,gold
orange,sandrifnsina,PS4,sandrifnsina,1295,Takumi RX-T,147,166,0,0,1,0,3,2,2,0,282,55.33,605,402,203,5,17,118,59,59,1,5,6.21,21.56,83,97,40,1351,175716,90,61.6,44.03,30.14,12.07,8.26,84.4,57.76,60.33,41.29,1.38,0.94,2.83,0.57,5,85.2,99.2,2066,1784,2281,2408,103.11,70.57,43,29.43,86.79,59.4,59.31,40.6,72.94,49.92,34.55,23.65,38.61,26.43,0,0,gold
orange,jesus13_insano,PS4,jesus13_insano,403,Dominus,147,64,0,0,0,1,3,2,0,0,334,64.22,545,322,223,4,23,177,100,77,1,8,8.24,27.75,0,132,19,1263,115197,60.89,60.65,36.9,36.76,2.6,2.59,70.4,70.13,29.99,29.87,0,0,0,0,0,63.9,39.5,2846,3096,2590,2408,72.08,71.8,28.31,28.2,58.7,58.47,41.7,41.53,46.35,46.17,21.38,21.3,32.66,32.53,0,0,gold
blue,KuroKep,Epic,e97cbdbe0fd245bbab068b2379b86135,23,Octane,109,155,0,0,1,0,3,2,1,0,389,56.03,756,657,99,8,10,140,100,40,1,4,7.54,36.17,34,163,7,1553,152859,46.61,43.67,45.4,42.53,14.73,13.8,49.32,46.21,56.86,53.27,0.56,0.52,2.46,0.08,30,66.6,96.8,3111,1760,3581,3614,77.62,72.72,29.12,27.28,71.14,66.65,35.6,33.35,57.53,53.9,26.25,24.59,22.96,21.51,0,1,gold
blue,RL DADLESS,Epic,1fe7e6dce31b45e984f89663f6bba597,23,Octane,109,0,0,0,0,0,3,2,1,0,152,39.09,213,175,38,2,4,12,0,12,0,1,6.58,0.88,0,24,0,1033,46906,79.86,80.61,17.73,17.9,1.48,1.49,41.82,42.22,57.07,57.61,0.17,0.17,0.25,0.04,7,88.6,18.5,4567,6196,3832,3614,70.33,71,28.73,29,90.94,91.79,8.13,8.21,88.45,89.28,4.72,4.76,5.9,5.96,0,0,gold
orange,DefiantLime6119,PS4,DefiantLime6119,4284,Fennec,109,314,2,0,0,2,0,0,0,100,376,49.08,708,560,148,6,14,231,200,31,2,3,14.29,9.48,182,40,0,1447,146981,60.25,54.94,37.68,34.36,11.74,10.7,69.82,63.66,39.85,36.34,0,0,0,0,0,39.2,61.1,1690,1349,2400,2604,79.02,72.05,30.65,27.95,67.28,61.35,42.38,38.65,51.52,46.98,24.47,22.31,33.67,30.7,0,0,gold
orange,CuervoStanziola,PS4,CuervoStanziola,4284,Fennec,109,36,0,0,0,1,0,0,0,0,384,47.39,637,521,116,6,10,143,95,48,1,4,22.79,5.77,116,78,4,1376,139912,62.27,56.76,35.56,32.42,11.87,10.82,56.82,51.8,51.89,47.3,0.99,0.9,1.57,0.14,11,61.3,40.2,2599,2429,2945,2604,71.82,65.46,37.89,34.54,69.77,63.6,39.93,36.4,53.01,48.32,27.09,24.69,29.6,26.98,1,0,gold
blue,Platinum-Geo,Epic,e7f863e094f1496d8de59c1889d246fc,4284,Fennec,339,352,1,1,1,2,6,5,0,50,303,48.49,1660,1226,434,16,39,430,287,143,3,12,31.56,44.06,521,285,12,1356,412304,199.21,59.38,110.85,33.04,25.44,7.58,211.41,63.01,114.8,34.22,9.3,2.77,12.55,0.4,31,139.3,181.5,2198,2012,2358,2684,235.97,70.33,99.54,29.67,209.14,62.33,126.37,37.67,160.28,47.77,95.22,28.38,80.02,23.85,0,1,gold
blue,Caleb_HMS;Steam;76561198127696401;12105,Caleb_HMS,Steam,76561198127696401,12105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold
