color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,Gonzalez,Steam,76561198222116968,4284,Fennec,363,495,2,0,1,4,12,4,2,50,457,52.96,2759,1930,829,26,64,617,366,251,4,21,40.83,24.66,943,672,32,1740,582233,132.12,36.47,105.12,29.02,125.01,34.51,187.61,51.79,165.57,45.71,9.07,2.5,8.84,0.1,92,162.9,181.1,2579,2411,2754,3060,248.13,68.5,114.11,31.5,231.52,63.91,130.72,36.09,163.45,45.12,126.33,34.87,72.46,20,2,0,supersonic
orange,GoldNiNja,Steam,76561198294115607,4284,Fennec,363,700,1,2,3,6,6,2,2,16.67,346,39.72,2036,1036,1000,13,92,522,169,353,2,32,29.66,21.06,121,195,37,1482,488822,177.47,49.77,135.74,38.07,43.37,12.16,199.19,55.86,146.53,41.09,10.87,3.05,7.57,0.09,85,192.1,151.9,2124,1823,2483,2997,300.92,84.39,55.66,15.61,213.33,59.83,143.25,40.17,152.77,42.84,124.37,34.88,79.44,22.28,0,2,supersonic
orange,!,Steam,76561198806898116,4284,Fennec,363,647,3,1,0,6,6,2,0,50,428,50.41,2643,2040,603,25,49,640,352,288,4,20,49.64,54.45,371,485,61,1543,518911,172.23,47.49,126.72,34.94,63.7,17.57,191.48,52.8,142.91,39.41,28.25,7.79,5.24,0.11,49,157.4,192,2367,2112,2628,2997,280.52,77.35,82.13,22.65,234.62,64.7,128.03,35.3,167.8,46.27,119.02,32.82,75.83,20.91,0,0,supersonic
blue,Kayzounet   ,Steam,76561199189710595,4284,Fennec,393,701,2,1,2,5,7,3,0,40,456,46.02,2995,2144,851,24,76,417,95,322,1,29,44.84,42.91,398,285,7,1523,550956,186.76,47.59,137.13,34.94,68.54,17.47,194.05,49.45,158.94,40.5,39.43,10.05,5.47,0.09,59,195.8,174.1,2135,1955,2359,2851,317.63,80.94,74.79,19.06,259.92,66.24,132.5,33.76,180.15,45.91,136.69,34.83,75.57,19.26,2,0,supersonic
blue,Ram,Steam,76561199013801159,4284,Fennec,393,615,2,1,2,6,7,3,3,33.33,448,50.65,2894,2010,884,27,85,616,340,276,4,26,37.33,50.47,593,540,82,1634,583480,150.79,39.02,149.83,38.77,85.87,22.22,227.87,58.96,139.61,36.12,19,4.92,7.57,0.1,78,174.3,190.8,2375,2315,2288,2851,287.27,74.33,99.21,25.67,250,64.68,136.49,35.32,179.56,46.46,121.08,31.33,85.84,22.21,2,2,supersonic
orange,Galaxi,Steam,76561198995404301,4284,Fennec,393,744,2,1,4,5,11,4,1,40,451,48.7,3029,2382,647,28,58,959,778,181,8,15,60.22,44.17,379,432,21,1559,541193,184.7,47.9,129.26,33.53,71.6,18.57,236.29,61.28,128.84,33.42,20.44,5.3,8.67,0.12,71,200.3,177,2551,2107,2892,3186,284.3,73.73,101.27,26.27,248.08,64.34,137.49,35.66,170.41,44.2,141.81,36.78,73.35,19.02,1,2,supersonic
orange,GoldNiNja,Steam,76561198294115607,4284,Fennec,393,500,1,1,2,2,11,4,3,50,361,50.15,2400,1360,1040,17,88,491,94,397,1,35,23.05,15.33,153,264,10,1474,524266,189.62,49.06,142.48,36.87,54.38,14.07,186.56,48.27,168.41,43.58,31.51,8.15,5.5,0.1,54,184.6,193.5,2116,1954,2264,3186,278.86,72.15,107.63,27.85,234.57,60.69,151.92,39.31,162.65,42.08,139.14,36,84.7,21.92,1,2,supersonic
blue,Lunix,Steam,76561198249254408,4284,Fennec,390,869,2,2,5,5,11,3,3,40,410,38.85,2515,1644,871,20,78,472,200,272,2,25,61.7,26.01,373,364,0,1465,518386,199.01,51.86,127.47,33.22,57.28,14.93,217.78,56.75,144.42,37.63,21.56,5.62,5.42,0.1,56,205.8,157.2,2123,1892,2264,2810,296.91,77.37,86.85,22.63,274.85,71.62,108.91,28.38,209.93,54.7,118.5,30.88,55.34,14.42,0,2,supersonic
blue,boacito.,Steam,76561199057556488,4284,Fennec,390,778,2,1,4,6,11,3,0,33.33,447,49.82,2821,2096,725,26,65,613,511,102,7,9,57.09,40.26,301,412,127,1636,584130,154.57,39.97,161.11,41.66,71,18.36,192.15,49.69,173.11,44.77,21.42,5.54,9.16,0.08,119,163.6,203,2039,1665,2346,2810,276.55,71.52,110.13,28.48,252.49,65.3,134.19,34.7,185.89,48.07,121.66,31.46,79.12,20.46,1,1,supersonic
orange,Nym0,Steam,76561199012906224,4284,Fennec,390,777,2,0,6,7,11,4,2,28.57,466,45.93,3037,2236,801,28,73,759,508,251,6,22,65.69,47.08,468,487,91,1669,593695,149.82,39.01,142.02,36.97,92.26,24.02,187.67,48.86,181.27,47.19,15.16,3.95,9.16,0.11,82,163.6,198.1,2531,2391,2672,3075,261.3,68.03,122.8,31.97,215.03,55.98,169.07,44.02,152.68,39.75,126.54,32.94,104.88,27.31,0,1,supersonic
