color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
orange,w1z1ble,Epic,cbd6148ee3b6415faf4e3b217af6ee2e,4284,Fennec,333,297,0,0,2,1,5,2,1,0,355,52.62,1961,1416,545,18,48,157,49,108,1,9,27.09,41.45,220,263,0,1382,429162,175.73,52.99,132.52,39.96,23.36,7.04,231.25,69.74,91.6,27.62,8.76,2.64,5.56,0.17,32,158.9,166.1,2399,2086,2594,3439,254.53,76.76,77.08,23.24,239.9,72.34,91.71,27.66,191.08,57.62,97.42,29.38,43.11,13,0,0,diamond
blue,active_awy,PS4,active_awy,4284,Fennec,388,728,3,1,2,6,8,4,1,50,348,60.01,2413,1901,512,24,41,660,419,241,5,16,26.95,70.61,426,511,87,1517,530892,182.83,47.19,161.26,41.62,43.36,11.19,208.04,53.69,165.81,42.8,13.6,3.51,3.12,0.22,14,168.4,191.7,2377,2242,2477,3229,263.07,67.9,124.38,32.1,244.72,63.16,142.73,36.84,180.69,46.64,128.35,33.13,78.41,20.24,2,0,diamond
blue,tvaika.,Epic,108e8993a14344329aea8faee20e22b7,4284,Fennec,388,412,2,1,0,3,8,4,3,66.67,363,41.98,2347,1402,945,16,79,762,468,294,5,26,39.67,30.5,110,135,4,1467,507957,199.14,51.89,145,37.78,39.65,10.33,233.2,60.76,137.47,35.82,13.12,3.42,9.6,0.13,74,192.5,162.7,2409,2212,2603,3229,287,74.78,96.8,25.22,235.35,61.32,148.45,38.68,170.14,44.33,131.09,34.16,82.57,21.51,2,1,diamond
orange,SoulCalibur.974,Epic,bd06e54f731d46f596c2308a51cf57ba,4284,Fennec,388,750,2,2,3,5,9,5,3,40,343,40.18,1960,1246,714,14,54,325,144,181,2,16,53.96,31.37,207,162,60,1429,486905,205.14,53.52,141.51,36.92,36.66,9.56,240.63,62.78,137.89,35.97,4.78,1.25,6.36,0.22,29,175.2,195,2282,2095,2486,2967,287.68,75.05,95.63,24.95,246.47,64.3,136.84,35.7,178.24,46.5,129.93,33.9,75.14,19.6,0,1,diamond
orange,thijs2111,PS4,thijs2111,9388,Lightning McQueen,388,436,2,0,1,3,9,5,2,66.67,282,50.13,2013,1594,419,18,38,279,184,95,2,8,30.02,81.41,317,230,15,1408,478901,210.46,55.62,148.19,39.16,19.76,5.22,249.58,65.95,118.48,31.31,10.35,2.74,4.21,0.15,29,199.5,164,3132,3075,3200,2967,288.15,76.15,90.25,23.85,264.97,70.02,113.44,29.98,205.42,54.29,122.62,32.4,50.37,13.31,1,3,diamond
blue,Faze mamo693562,XBox,509f4b88f8010900,4284,Fennec,195,366,2,0,1,2,5,2,1,100,377,48.31,1290,889,401,10,30,152,99,53,1,5,23.73,29.2,109,122,0,1501,258222,91.85,47.8,84.72,44.09,15.58,8.11,103.6,53.92,79.85,41.56,8.7,4.53,3.2,0.1,33,78.7,101.5,2141,2115,2214,2851,138,71.82,54.15,28.18,150.75,78.45,41.4,21.55,117.95,61.39,51.86,26.99,22.33,11.62,1,1,diamond
blue,BasePayload,PS4,BasePayload,23,Octane,195,259,0,1,1,1,5,2,1,0,287,38.26,881,667,214,7,19,23,0,23,0,2,23.13,23.44,0,38,0,1339,232408,119.47,62.19,67.84,35.31,4.8,2.5,130.9,68.14,58.65,30.53,2.56,1.33,6.47,0.12,54,101.3,79.7,2480,2581,2366,2851,140.93,73.36,51.18,26.64,156.41,81.41,35.71,18.59,124.17,64.63,51.1,26.6,16.84,8.77,0,1,diamond
orange,O-Block Rompzy0,Epic,2e728b0348674cd48bc5975ffda9ba68,23,Octane,195,328,2,0,0,3,3,2,1,66.67,429,49.34,1391,1072,319,12,30,396,228,168,3,15,18.1,29.83,74,145,74,1446,253779,101.04,51.77,76.53,39.21,17.61,9.02,121.69,62.34,69.81,35.77,3.69,1.89,4.13,0.18,23,83.3,96.8,2615,2093,3044,3372,152.32,78.04,42.87,21.96,105.71,54.16,89.48,45.84,71.7,36.74,71.53,36.65,51.95,26.62,1,0,diamond
orange,Seg;Steam;76561198020618571;11603,Seg,Steam,76561198020618571,11603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
blue,Russianthug007,PS4,Russianthug007,30,Merc,125,370,2,0,1,2,2,0,0,100,460,60.53,886,675,211,9,11,305,160,145,2,5,11.52,21.14,141,229,42,1519,169252,57.66,46.99,53.06,43.24,12,9.78,81,66,39.03,31.8,2.69,2.19,3.23,0.13,25,69.3,48.3,3010,3405,2694,3378,100.6,81.98,22.12,18.02,77.61,63.24,45.11,36.76,60.16,49.02,35.09,28.59,27.47,22.38,0,1,diamond
