color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,calogero3009,PS4,calogero3009,403,Dominus,337,200,0,0,0,1,3,1,0,0,304,47.51,1614,1054,560,12,50,671,379,292,5,26,40.43,42.76,218,167,136,1392,446378,190.72,56.58,111.17,32.98,35.2,10.44,222.78,66.09,112.91,33.5,1.4,0.42,8.57,0.17,50,175.3,163.2,2258,2197,2340,3062,253.99,75.35,83.1,24.65,177.7,52.72,159.39,47.28,133.87,39.71,98.13,29.11,105.09,31.18,0,0,gold
orange,Dr.At0mic 0,Epic,099fc10a5856425981553c1894155854,4284,Fennec,337,593,1,0,4,3,5,2,2,33.33,377,55.64,2120,1768,352,22,31,373,289,84,4,8,35.7,50.1,310,374,115,1309,418187,198.79,59.38,114.12,34.09,21.88,6.54,190.15,56.8,138.15,41.26,6.49,1.94,5.3,0.23,23,330,330.2,1638,1298,1889,3229,258.79,77.3,75.99,22.7,220.62,65.9,114.17,34.1,184.49,55.11,61.06,18.24,89.24,26.66,0,0,gold
orange,DR.J,Psynet,24dc0f85ad08b1bb,403,Dominus,337,0,0,0,0,0,5,2,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.48,100,0,0,0,0,33.48,100,0,0,0,0,0,0,0,33.4,0,4982,7397,3700,3229,33.48,100,0,0,33.48,100,0,0,33.48,100,0,0,0,0,0,0,gold
blue,tashyaran,Epic,59d7142f063a4a89a17587aa81b73b7c,23,Octane,351,442,2,0,2,3,4,2,2,66.67,300,43.36,1586,1179,407,13,36,294,176,118,2,11,35.39,40.9,201,127,23,1271,413093,220.52,62.76,105.26,29.96,25.57,7.28,221.21,62.96,122.9,34.98,7.24,2.06,14.79,0.35,42,189,147.8,2274,2409,2148,2626,257.42,73.27,93.92,26.73,240.7,68.51,110.65,31.49,190.61,54.25,105.67,30.08,55.06,15.67,3,0,gold
blue,Veldra667,XBox,c2ffcea1fb010900,23,Octane,351,318,1,1,0,3,4,2,0,33.33,267,59.79,1770,1370,400,18,39,513,395,118,6,11,19.27,68.15,118,479,211,1322,432318,203.01,57.77,127.19,36.19,21.21,6.04,194.84,55.44,142.33,40.5,14.26,4.06,3.17,0.26,12,152.1,189.7,2094,1985,2177,2626,242.1,68.89,109.32,31.11,230.86,65.69,120.56,34.31,178.52,50.8,96.79,27.54,76.11,21.66,0,0,gold
orange,BoxedBy_Colacao,PS4,BoxedBy_Colacao,23,Octane,351,390,2,0,0,2,6,3,1,100,267,53.92,1641,1314,327,16,29,323,251,72,3,7,52.17,39.49,199,298,54,1284,412248,224.88,64.58,104.21,29.93,19.13,5.49,209.94,60.29,129.15,37.09,9.13,2.62,3.29,0.25,13,162.2,181.5,2335,2180,2503,2677,256.7,73.72,91.52,26.28,209.48,60.16,138.74,39.84,144.97,41.63,118.08,33.91,85.17,24.46,0,1,gold
orange,eikofr,Steam,76561198341973113,4284,Fennec,351,150,0,1,0,2,6,3,2,0,178,49.4,1141,616,525,9,45,214,0,214,0,18,23.34,54.01,53,299,1,1194,382407,243.55,70.72,91.19,26.48,9.66,2.8,235.59,68.4,104.34,30.3,4.48,1.3,6.65,0.33,20,188.3,155.4,2357,2531,2200,2677,259.9,75.46,84.5,24.54,204.61,59.41,139.79,40.59,147.5,42.83,123.88,35.97,73.02,21.2,0,2,gold
blue,eikofr,Steam,76561198341973113,4284,Fennec,378,414,2,0,0,3,8,4,3,66.67,179,51.97,1153,693,460,8,41,157,0,157,0,15,42.31,41.58,64,120,8,1289,443743,247.59,65.97,116.92,31.16,10.77,2.87,247.47,65.94,122.1,32.54,5.71,1.52,5.07,0.3,17,222.4,145.9,2223,2161,2274,2427,269.73,71.87,105.55,28.13,224.54,59.83,150.74,40.17,157,41.84,145.58,38.79,72.7,19.37,2,1,gold
blue,astrofrite0202,PS4,astrofrite0202,23,Octane,378,317,1,0,1,2,8,4,1,50,394,45.15,2474,2024,450,24,39,671,494,177,6,15,47.36,41.08,776,375,105,1420,478379,196.93,53.87,128.31,35.1,40.35,11.04,256.03,70.03,93.79,25.65,15.78,4.32,3.41,0.23,15,139.9,221.2,1811,1735,1857,2427,240.29,65.72,125.31,34.28,203.93,55.78,161.67,44.22,145.9,39.91,112.78,30.85,106.91,29.24,1,3,gold
orange,TAMYSDL-G,PS4,TAMYSDL-G,4284,Fennec,378,701,4,0,0,7,5,3,1,57.14,272,55.72,1945,1560,385,20,35,516,384,132,5,12,32.43,56.89,353,457,115,1355,461384,213.06,57.42,130.29,35.11,27.71,7.47,241.6,65.11,123.34,33.24,6.13,1.65,0,0,0,193.3,168.6,2108,1717,2564,2687,270.79,72.98,100.27,27.02,250.04,67.38,121.03,32.62,191.37,51.57,92.69,24.98,87,23.45,0,2,gold
