color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,unyotyan,Steam,76561198032275645,23,Octane,306,509,3,0,1,3,5,0,0,100,286,48.51,1431,915,516,13,44,442,271,171,4,15,28.97,24.72,91,331,131,1396,394074,184.89,60.94,91.3,30.09,27.22,8.97,188.25,62.04,109.62,36.13,5.54,1.83,8.51,0.14,60,141.6,149.6,2431,2366,2470,3564,236.02,77.79,67.39,22.21,169.87,55.99,133.54,44.01,118.66,39.11,104.08,34.3,80.67,26.59,1,1,platinum
blue,Liam19119,Steam,76561198330865113,4284,Fennec,306,488,2,1,2,2,5,0,0,100,339,60.4,1704,1501,203,18,19,437,389,48,5,5,16.31,42.34,215,308,111,1328,377000,175.2,57.19,106.9,34.89,24.27,7.92,187.77,61.29,118.6,38.71,0,0,0.72,0.36,2,157.3,138.6,3034,2915,3053,3564,229.06,74.77,77.31,25.23,180.78,59.01,125.58,40.99,151.11,49.32,71.46,23.33,83.79,27.35,0,0,platinum
orange,Nippondad,Psynet,09800d5cfea4db12,4284,Fennec,306,162,0,0,0,5,5,5,3,0,340,43.53,1450,961,489,13,44,371,226,145,4,13,39.44,28.6,234,349,184,1440,407670,150.03,49.58,128.73,42.54,23.86,7.88,207.55,68.58,86.66,28.64,8.41,2.78,4.62,0.17,28,129.3,159.4,2859,2582,3075,3659,189.73,62.7,112.89,37.3,191.97,63.44,110.64,36.56,134.6,44.48,105.31,34.8,62.71,20.72,0,1,platinum
orange,LeBmonPote,PS4,LeBmonPote,4284,Fennec,306,96,0,0,0,0,5,5,2,0,396,58.51,1956,1393,563,19,50,401,214,187,4,16,31.39,41.86,329,521,185,1420,405293,157.62,51.63,122.16,40.02,25.48,8.35,198.04,64.88,95.28,31.21,11.94,3.91,9.23,0.26,36,162.2,130.7,2643,2257,2633,3659,211.7,69.35,93.56,30.65,200.16,65.57,105.11,34.43,153,50.12,92.64,30.35,59.62,19.53,1,0,platinum
blue,Nippondad,Psynet,09800d5cfea4db12,4284,Fennec,155,507,4,0,0,4,1,0,0,100,344,48.31,897,641,256,8,23,345,261,84,3,7,31.7,9.66,176,158,38,1412,189304,82.53,53.65,60.06,39.05,11.23,7.3,100.08,65.06,51.37,33.4,2.37,1.54,1.03,0.1,10,61.9,76.9,2637,2465,2967,3553,123.08,80.02,30.73,19.98,89.67,58.3,64.14,41.7,64.57,41.98,49.82,32.39,39.42,25.63,1,0,platinum
blue,unyotyan,Steam,76561198032275645,23,Octane,155,405,1,3,1,2,1,0,0,50,246,49.89,674,334,340,5,29,145,33,112,1,10,11.06,2.41,56,69,0,1436,195981,90.12,57.97,49.16,31.62,16.17,10.4,97.31,62.6,52.98,34.08,5.15,3.31,4.05,0.16,25,77,59.5,2895,2762,3086,3553,117.46,75.56,37.99,24.44,95.54,61.46,59.91,38.54,62.1,39.95,62.58,40.26,30.77,19.79,1,0,platinum
orange,rowanbaird2003,XBox,b9351594f1010900,23,Octane,155,157,0,0,1,0,6,5,1,0,286,41.39,603,426,177,5,15,47,0,47,0,4,5.83,11.24,178,73,0,1398,178727,84.28,57.44,50.58,34.47,11.86,8.08,97.13,66.2,49.6,33.8,0,0,2.58,0.2,13,71.5,64.2,2373,2083,2485,3309,99.77,68,46.96,32,106.79,72.78,39.94,27.22,81.72,55.7,42.02,28.64,22.98,15.66,0,2,platinum
orange,Liam19119,Steam,76561198330865113,4284,Fennec,155,38,0,0,0,1,6,5,4,0,338,50.12,792,656,136,8,12,92,84,8,2,1,17.6,34.2,152,152,119,1452,196552,82.89,53.37,56.66,36.48,15.76,10.15,98.96,63.72,53.89,34.7,2.46,1.58,1.49,0.74,2,70,73.7,3125,2957,3280,3309,97.05,62.49,58.26,37.51,106.16,68.35,49.16,31.65,80.7,51.96,51.33,33.05,23.27,14.98,0,0,platinum
blue,GatersTaters,XBox,4fc0b7dbf9010900,4284,Fennec,461,527,1,0,3,4,6,2,1,25,291,48.03,2230,1432,798,17,68,696,451,245,5,21,44.66,50.68,211,286,56,1321,572752,259.89,56.66,181.81,39.64,16.98,3.7,291.92,63.64,152.47,33.24,14.28,3.11,4.92,0.2,25,185,257.7,2007,1872,2124,2703,317.19,69.15,141.48,30.85,311.34,67.88,147.34,32.12,253.76,55.33,108.21,23.59,96.7,21.08,2,0,platinum
blue,st33p_fn,PS4,st33p_fn,4284,Fennec,461,515,2,0,1,3,6,2,1,66.67,421,48,3112,2229,883,27,70,367,181,186,2,17,52.29,68.72,586,481,18,1376,598244,258.35,56.47,157.56,34.44,41.6,9.09,282.52,61.75,159.62,34.89,15.37,3.36,4.64,0.15,32,258.3,184.1,2317,2312,2312,2703,343.72,75.13,113.79,24.87,325.89,71.23,131.63,28.77,256.28,56.02,131.06,28.65,70.17,15.34,1,1,platinum
orange,Midztral,PS4,Midztral,23,Octane,461,666,1,1,4,3,7,3,1,33.33,328,55.78,2422,2020,402,25,38,382,287,95,3,10,23.87,68.91,336,507,25,1412,608355,249.65,54.98,156.58,34.48,47.88,10.54,290.89,64.06,157.23,34.62,6,1.32,6.07,0.15,41,230.2,213.8,2645,2264,2966,3087,354.8,78.13,99.32,21.87,265.36,58.43,188.76,41.57,178.82,39.38,164.32,36.18,110.98,24.44,0,2,platinum
orange,unyotyan,Steam,76561198032275645,23,Octane,461,322,1,0,0,3,7,3,2,33.33,247,39.13,1909,898,1011,11,90,376,0,376,0,34,68.85,38.3,296,182,0,1427,618369,245.48,53.67,172.63,37.74,39.3,8.59,273.54,59.8,173.59,37.95,10.29,2.25,14.56,0.13,113,218.9,227.3,2448,2241,2544,3087,318.66,69.66,138.76,30.34,239.6,52.38,217.82,47.62,165.24,36.12,170.19,37.21,121.99,26.67,1,1,platinum
blue,TTV-faze_gromit,PS4,TTV-faze_gromit,23,Octane,333,516,1,1,2,2,5,1,1,50,384,51.35,2196,1729,467,21,41,433,269,164,4,14,40.5,70.68,746,394,134,1419,442551,176.08,53.77,119.18,36.4,32.19,9.83,208.38,63.64,108.7,33.19,10.38,3.17,0.77,0.13,6,153.8,173.9,2247,1815,2607,3700,212.92,65.02,114.53,34.98,182.21,55.64,145.25,44.36,128.78,39.33,103.66,31.66,95.02,29.02,3,2,platinum
blue,ZestyPotatos634,XBox,497da907fe010900,9088,Porsche 911 Turbo,333,308,1,1,1,2,5,1,0,50,341,40.82,1755,1237,518,16,43,334,141,193,2,16,77.68,39.48,625,362,58,1424,447777,163.55,49.5,133.57,40.43,33.29,10.08,228.63,69.2,90.84,27.49,10.94,3.31,2.17,0.36,6,187.3,153.5,3165,3376,2958,3700,229.95,69.6,100.45,30.4,188.29,56.99,142.11,43.01,148.43,44.92,82.8,25.06,99.17,30.02,0,1,platinum
orange,ASBRANDONAS,Epic,0f90d32269264862ad146ae034881988,4284,Fennec,333,347,1,0,1,4,4,2,1,25,393,54.57,2224,1898,326,24,31,358,243,115,3,12,41.42,47.71,356,494,67,1471,427929,158.77,48.44,117.77,35.93,51.21,15.62,173.63,52.98,140.55,42.88,13.57,4.14,2.55,0.1,25,141.7,210.2,2248,2295,2330,3178,210.17,64.13,117.58,35.87,215.02,65.6,112.73,34.4,172.01,52.48,86.75,26.47,68.99,21.05,1,2,platinum
orange,moreanimals,Epic,90f124770446450984b4a669103abce3,6836,Ford Mustang Shelby GT350R RLE,333,287,0,0,1,1,4,2,1,0,298,43.52,1581,1019,562,13,48,230,74,156,1,13,39.17,18.43,302,254,0,1370,400731,194.22,58.87,114.96,34.85,20.73,6.28,226.84,68.76,99.19,30.07,3.88,1.18,4.83,0.17,29,216.3,139,2675,2386,2997,3178,258.84,78.46,71.08,21.54,247.69,75.08,82.22,24.92,199.06,60.34,80.94,24.53,49.92,15.13,2,1,platinum
