color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,sosageidk,Epic,9ddf80b541244f388b32f3278571ee79,4284,Fennec,369,811,2,2,4,7,14,3,0,28.57,438,44.7,2621,1898,723,20,56,790,578,212,6,18,58.09,35.16,165,113,25,1591,527975,154.05,42.59,141.38,39.09,66.26,18.32,161.34,44.61,177.22,49,23.14,6.4,6.25,0.1,63,138.2,211.5,2272,2161,2359,2967,262.21,72.49,99.49,27.51,240.84,66.59,120.86,33.41,178.5,49.35,101.28,28,81.93,22.65,2,2,grand
blue,norris,Steam,76561199019323285,4284,Fennec,369,786,2,1,5,4,14,3,3,50,369,54.96,2333,1743,590,22,55,177,49,128,1,12,35.25,47.14,140,499,61,1526,507850,173.87,47.94,149.5,41.22,39.32,10.84,208.74,57.55,139.78,38.54,14.17,3.91,8.47,0.12,70,212.5,141.6,2457,2265,2655,2967,291.87,80.47,70.82,19.53,266.06,73.36,96.63,26.64,191.66,52.84,124.27,34.26,46.76,12.89,0,2,grand
orange,Karina,Steam,76561198313458646,23,Octane,369,574,2,1,1,8,11,4,3,25,458,47.83,2742,1999,743,23,55,780,474,306,6,21,54.03,36.78,197,249,65,1637,549883,144.5,39.48,144.72,39.54,76.83,20.99,163.52,44.67,171.87,46.95,30.65,8.37,6.13,0.07,85,196.3,152.5,2355,2006,2738,3101,290.43,79.34,75.61,20.66,221.38,60.48,144.67,39.52,151.01,41.26,138.98,37.97,76.05,20.78,0,1,grand
orange,Sydney,Steam,76561199646530332,23,Octane,369,511,1,1,2,6,11,4,1,16.67,435,48.31,2746,1928,818,21,79,666,398,268,4,25,48.02,25.24,304,104,11,1648,554146,142.68,38.99,149.48,40.85,73.79,20.16,203.13,55.51,148.71,40.64,14.12,3.86,10.69,0.1,108,154.7,191.6,2392,2337,2464,3101,268.79,73.45,97.17,26.55,204.24,55.81,161.72,44.19,144.66,39.53,129.6,35.41,91.69,25.06,4,1,grand
blue,Nyxoinho,Epic,e2784d7a9ce94b6a9a4f159e18361deb,4284,Fennec,296,832,3,2,3,3,6,2,2,100,461,46.57,2189,1506,683,20,61,689,397,292,6,26,32.37,33.11,226,439,205,1570,415875,137.28,46.44,108.53,36.71,49.81,16.85,155.84,52.72,116.76,39.5,23.02,7.79,5.37,0.14,39,127.1,139.4,2122,1924,2189,3265,237.58,80.36,58.05,19.64,186.85,63.2,108.78,36.8,131.19,44.38,98.11,33.19,66.33,22.44,1,0,grand
blue,Kyran-010,Epic,a6d318710baa495eb56322b4811522bd,4284,Fennec,296,583,3,1,1,4,6,2,0,75,320,47.87,1727,1141,586,15,52,381,286,95,4,10,33.98,27.91,103,328,118,1509,395569,153.2,52.41,93.42,31.96,45.7,15.63,167.11,57.16,110.41,37.77,14.81,5.07,7.31,0.11,65,140.4,124.9,2917,2746,2949,3265,233.25,79.79,59.08,20.21,197.35,67.51,94.97,32.49,128.66,44.01,122.67,41.96,40.99,14.02,0,1,grand
orange,Awx.,Steam,76561198163174235,23,Octane,296,465,1,1,2,2,7,6,4,50,459,50.29,2257,1609,648,20,61,402,256,146,3,13,26.94,36.88,288,429,43,1489,386104,147.76,50.81,99.99,34.38,43.07,14.81,157.86,54.28,117.67,40.46,15.29,5.26,5.45,0.14,38,151.2,113.3,2402,2285,2542,3020,210.81,72.49,80.02,27.51,208.95,71.85,81.87,28.15,146.52,50.38,100.01,34.39,44.3,15.23,0,1,grand
orange,Flormann.,Epic,3d583c210fee492594f3239ed17103e1,23,Octane,296,258,1,1,0,4,7,6,2,25,347,37.93,1776,1174,602,14,53,492,251,241,3,20,64.62,26.53,147,230,48,1504,401208,145.56,49.26,114.7,38.82,35.21,11.92,165.7,56.08,108.62,36.76,21.14,7.15,3.87,0.11,36,116.7,151.1,2277,1846,2627,3020,206.95,70.04,88.51,29.96,196.92,66.65,98.54,33.35,147.22,49.83,87.69,29.68,60.55,20.49,1,0,grand
blue,Vrento.,Epic,cf2ebf10cfc6494a9fcb2dbdf55ec8f9,4284,Fennec,365,837,4,0,3,5,13,7,4,80,492,39.7,2798,2241,557,25,47,577,421,156,5,13,69.38,19.98,118,206,78,1491,477499,182.45,50.51,129.36,35.81,49.39,13.67,168.78,46.73,160.67,44.48,31.76,8.79,5.87,0.07,83,165.9,168,1942,1732,2052,2900,276.54,76.56,84.66,23.44,260.37,72.08,100.84,27.92,196.81,54.49,115.65,32.02,48.75,13.5,0,1,grand
blue,starfares1,PS4,starfares1,4284,Fennec,365,265,0,1,2,3,13,7,3,0,364,45.4,2335,1731,604,20,54,534,421,113,5,10,50.15,37.45,391,280,80,1447,452035,190.92,53.65,117.09,32.9,47.86,13.45,219.41,61.65,129.6,36.42,6.87,1.93,3.84,0.13,30,169.9,155.1,2744,2880,2648,2900,243.51,68.43,112.36,31.57,273.76,76.93,82.11,23.07,213.32,59.94,87.13,24.48,55.42,15.57,1,2,grand
