replay_id,playlist,rank,color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
ff6a8045-fbcb-4a6f-97fc-cc669d9f5711,ranked-doubles,bronze-1,blue;;60 70(1);Epic;67e1a297b0ac4f9bb39bb6243d9ec954;23;Octane;110;2;0;0;0;0;2;1;0;0;52;30.41;60;0;60;0;5;36;0;36;0;3;1.42;0;0;0;0;729;26227;84.52;87.58;2.51;2.6;9.48;9.82;72.67;75.29;22.37;23.18;1.48;1.53;0;0;0;38;64.9;3849;5140;3579;2943;52.13;54.01;44.39;45.99;56.32;58.35;40.2;41.65;55.13;57.12;2.26;2.34;39.13;40.54;0;0
ff6a8045-fbcb-4a6f-97fc-cc669d9f5711,ranked-doubles,bronze-1,orange;;angel20148;PS4;angel20148;4284;Fennec;110;128;1;0;0;1;0;0;0;100;176;20.42;245;100;145;1;12;148;100;48;1;4;25.85;1.78;95;0;0;1244;116798;79.63;73.84;22.5;20.86;5.71;5.29;91.05;84.42;16.8;15.58;0;0;0;0;0;45.3;64.3;2987;2269;4046;3249;80.68;74.81;27.17;25.19;53.45;49.56;54.4;50.44;33.93;31.46;33.76;31.3;40.16;37.24;0;0
ff6a8045-fbcb-4a6f-97fc-cc669d9f5711,ranked-doubles,bronze-1,orange;;adriantarancon;PS4;adriantarancon;4284;Fennec;110;84;0;1;0;1;0;0;0;0;377;35.5;650;500;150;5;13;185;100;85;1;7;41.78;8.76;265;0;0;1364;139137;69.99;63.44;29.98;27.17;10.36;9.39;85.89;77.86;21.99;19.93;2.44;2.21;0;0;0;64.1;49.3;2882;2565;3494;3249;84.66;76.73;25.67;23.27;54.83;49.7;55.5;50.3;31.89;28.91;46.7;42.33;31.73;28.76;0;0
3626bb72-b387-4af4-a12f-6d77315fb844,ranked-doubles,bronze-2,blue;;BigJJpops;XBox;0413924af5010900;23;Octane;344;483;3;0;0;4;2;2;2;75;371;48.35;1954;1669;285;21;25;422;357;65;5;6;75.91;64.53;718;436;149;1335;429228;209.41;60.88;101.08;29.39;33.47;9.73;209.81;61;115.97;33.72;18.18;5.29;2.67;0.44;6;153.9;185;1642;1553;1739;2288;238.95;69.47;105.02;30.53;233.83;67.98;110.14;32.02;176.84;51.41;95.97;27.9;71.15;20.69;0;0
3626bb72-b387-4af4-a12f-6d77315fb844,ranked-doubles,bronze-2,blue;;Vintage267710;XBox;12728876f5010900;4284;Fennec;344;166;0;0;1;0;2;2;0;0;194;38.04;1142;641;501;8;42;129;0;129;0;11;57.23;26.96;483;161;3;1281;404278;221.85;64.67;94.72;27.61;26.47;7.72;253.29;73.83;84.98;24.77;4.78;1.39;5.97;0.46;13;197.8;146;2452;2409;2497;2288;234.23;68.28;108.81;31.72;237.97;69.37;105.08;30.63;178.82;52.13;99.08;28.88;65.15;18.99;1;0
3626bb72-b387-4af4-a12f-6d77315fb844,ranked-doubles,bronze-2,orange;;Orangesig32;Epic;1e9b7c9e60e6404786a7ba56d9bbad52;4284;Fennec;344;220;1;0;0;1;4;3;1;100;256;35.48;1290;687;603;8;53;517;283;234;3;20;132.96;31.62;132;117;16;1249;404742;213.19;61.97;112.86;32.81;17.97;5.22;216.63;62.97;126.35;36.73;1.03;0.3;1.66;0.55;3;142.2;201.4;2525;1948;2864;3059;226.08;65.72;117.93;34.28;190.84;55.47;153.18;44.53;134.9;39.21;98.56;28.65;110.56;32.14;0;0
3626bb72-b387-4af4-a12f-6d77315fb844,ranked-doubles,bronze-2,orange;;BoOgEr_StoRm23;PS4;BoOgEr_StoRm23;23;Octane;344;162;1;0;0;1;4;3;2;100;317;50.2;1788;1465;323;18;20;214;0;214;0;11;49.83;112.19;619;252;5;1343;417090;201.1;59;110.13;32.31;29.64;8.7;226.84;66.55;109.93;32.25;4.1;1.2;3.46;0.69;5;197.9;130.8;2967;2672;3128;3059;249.8;73.28;91.07;26.72;224.93;65.99;115.94;34.01;170.28;49.95;88.49;25.96;82.1;24.09;0;1
258e20df-e961-49d7-a8c8-dcd2a685e4ee,ranked-doubles,bronze-2,blue;;eac;Psynet;c39851ed595814c0;23;Octane;61;236;2;0;0;1;0;0;0;200;199;44.27;160;100;60;1;5;124;100;24;1;2;6.28;8.24;23;0;0;1164;57872;46.51;75.72;12.96;21.1;1.95;3.17;44.01;71.65;17.41;28.35;0;0;0;0;0;23.1;24.9;2928;1442;2144;3166;54.96;89.5;6.45;10.5;25;40.7;36.42;59.3;21.8;35.5;13.67;22.26;25.94;42.24;0;0
258e20df-e961-49d7-a8c8-dcd2a685e4ee,ranked-doubles,bronze-2,blue;;Tiktok-blakegoat;PS4;Tiktok-blakegoat;403;Dominus;61;160;1;1;0;1;0;0;0;100;157;41.28;47;0;47;0;4;11;0;11;0;1;0;0;0;0;0;1228;60356;41.96;68.79;17.23;28.25;1.81;2.97;40.82;66.92;17.24;28.26;2.94;4.82;0;0;0;25.6;23.5;2880;4975;1858;3166;54.73;89.72;6.27;10.28;23.82;39.05;37.18;60.95;20.38;33.41;15.64;25.64;24.98;40.95;0;0
258e20df-e961-49d7-a8c8-dcd2a685e4ee,ranked-doubles,bronze-2,orange;;Orangesig32;Epic;1e9b7c9e60e6404786a7ba56d9bbad52;4284;Fennec;61;10;0;0;0;0;2;3;3;0;222;18.57;126;0;126;0;11;0;0;0;0;0;20.61;0;0;0;0;1210;60082;44.86;73.04;16.35;26.62;0.21;0.34;39.97;65.09;18.91;30.79;2.53;4.12;0;0;0;35.4;31.3;2255;1125;2018;1715;27.82;45.29;33.6;54.71;57.52;93.65;3.9;6.35;46.34;75.45;12.34;20.09;2.74;4.46;0;0
258e20df-e961-49d7-a8c8-dcd2a685e4ee,ranked-doubles,bronze-2,orange;;mOonliGht-dRiPz;PS4;mOonliGht-dRiPz;23;Octane;61;0;0;0;0;0;2;3;0;0;123;42.92;123;100;23;1;2;0;0;0;0;0;6.06;11.21;0;0;0;1031;29483;32.76;85.14;5.72;14.86;0;0;26.44;68.71;12.04;31.29;0;0;0;0;0;12.5;26.3;1381;1463;1170;1715;5.71;14.84;32.77;85.16;38.48;100;0;0;36.64;95.22;1.84;4.78;0;0;0;0
dfa31d58-77d2-48e2-8ed7-285050df74d6,ranked-doubles,bronze-2,blue;;Jaysnt_d;PS4;Jaysnt_d;403;Dominus;402;493;3;0;0;2;2;3;1;150;188;41.74;1188;823;365;10;31;323;205;118;3;10;32.52;57.98;283;178;96;1237;454836;263.36;65.94;114.67;28.71;21.34;5.34;268.33;67.19;126.55;31.69;4.5;1.13;0;0;0;214.3;176.1;2412;1972;2884;2542;275.77;69.05;123.6;30.95;213.95;53.57;185.42;46.43;159.79;40.01;116.17;29.09;123.41;30.9;0;0
dfa31d58-77d2-48e2-8ed7-285050df74d6,ranked-doubles,bronze-2,blue;;Orangesig32;Epic;1e9b7c9e60e6404786a7ba56d9bbad52;4284;Fennec;402;341;1;1;0;2;2;3;2;50;318;30.13;1930;1282;648;14;57;650;390;260;4;24;159.02;15.72;419;20;9;1249;462920;252.4;62.84;124.14;30.91;25.11;6.25;252.31;62.82;146.47;36.47;2.87;0.71;4.4;0.88;5;173.6;216.9;1987;1737;2237;2542;253.64;63.15;148.01;36.85;213.65;53.21;187.9;46.79;160.51;39.96;100.07;24.91;141.07;35.12;0;0
